,成交价格
848,13.06
849,13.07
850,13.07
851,13.07
852,13.06
853,13.06
854,13.06
855,13.05
856,13.05
857,13.05
858,13.06
859,13.05
860,13.05
861,13.06
862,13.06
863,13.05
864,13.05
865,13.06
866,13.05
867,13.05
868,13.05
869,13.05
870,13.05
871,13.05
872,13.05
873,13.05
874,13.05
875,13.05
876,13.06
877,13.05
878,13.05
879,13.05
880,13.05
881,13.06
882,13.07
883,13.06
884,13.06
885,13.06
886,13.06
887,13.08
888,13.07
889,13.08
890,13.09
891,13.1
892,13.08
893,13.08
894,13.08
895,13.09
896,13.08
897,13.09
898,13.09
899,13.09
900,13.1
901,13.09
902,13.09
903,13.09
904,13.1
905,13.09
906,13.09
907,13.08
908,13.08
909,13.09
910,13.09
911,13.09
912,13.08
913,13.08
914,13.08
915,13.09
916,13.08
917,13.08
918,13.09
919,13.08
920,13.09
921,13.08
922,13.08
923,13.08
924,13.08
925,13.08
926,13.07
927,13.07
928,13.07
929,13.07
930,13.07
931,13.07
932,13.06
933,13.06
934,13.06
935,13.06
936,13.06
937,13.06
938,13.06
939,13.06
940,13.05
941,13.05
942,13.05
943,13.05
944,13.04
945,13.05
946,13.02
947,13.02
948,13.02
949,13.02
950,13.02
951,13.02
952,13.02
953,13.03
954,13.03
955,13.03
956,13.03
957,13.03
958,13.02
959,13.02
960,13.03
961,13.03
962,13.03
963,13.03
964,13.02
965,13.02
966,13.02
967,13.02
968,13.02
969,13.02
970,13.02
971,13.02
972,13.01
973,13.01
974,13.01
975,13.02
976,13.02
977,13.01
978,13.02
979,13.01
980,13.01
981,13.02
982,13.02
983,13.01
984,13.02
985,13.02
986,13.02
987,13.02
988,13.02
989,13.02
990,13.02
991,13.01
992,13.02
993,13.02
994,13.02
995,13.01
996,13.02
997,13.02
998,13.02
999,13.02
1000,13.02
1001,13.02
1002,13.01
1003,13.02
1004,13.01
1005,13.02
1006,13.01
1007,13.02
1008,13.01
1009,13.02
1010,13.02
1011,13.01
1012,13.01
1013,13.01
1014,13.0
1015,13.01
1016,13.0
1017,13.0
1018,13.0
1019,12.99
1020,12.99
1021,12.98
1022,12.98
1023,12.98
1024,12.98
1025,12.98
1026,12.98
1027,12.99
1028,12.99
1029,12.98
1030,12.99
1031,12.98
1032,12.99
1033,12.99
1034,13.0
1035,13.0
1036,13.0
1037,13.0
1038,13.0
1039,13.0
1040,13.0
1041,13.0
1042,13.0
1043,13.01
1044,13.01
1045,13.01
1046,13.02
1047,13.01
1048,13.02
1049,13.02
1050,13.01
1051,13.02
1052,13.03
1053,13.03
1054,13.02
1055,13.02
1056,13.02
1057,13.02
1058,13.02
1059,13.02
1060,13.01
1061,13.01
1062,13.02
1063,13.01
1064,13.01
1065,13.01
1066,13.01
1067,13.02
1068,13.03
1069,13.04
1070,13.05
1071,13.06
1072,13.07
1073,13.07
1074,13.08
1075,13.08
1076,13.09
1077,13.09
1078,13.09
1079,13.09
1080,13.09
1081,13.07
1082,13.09
1083,13.09
1084,13.08
1085,13.08
1086,13.07
1087,13.08
1088,13.07
1089,13.07
1090,13.08
1091,13.07
1092,13.07
1093,13.08
1094,13.08
1095,13.08
1096,13.08
1097,13.08
1098,13.09
1099,13.09
1100,13.08
1101,13.07
1102,13.08
1103,13.08
1104,13.08
1105,13.08
1106,13.07
1107,13.06
1108,13.07
1109,13.06
1110,13.06
1111,13.05
1112,13.06
1113,13.06
1114,13.06
1115,13.05
