,成交金额
955,92538
956,61217
957,157561
958,155044
959,130269
960,134148
961,56014
962,173237
963,56020
964,343779
965,141953
966,167965
967,209601
968,75500
969,270787
970,240812
971,35134
972,100194
973,39030
974,39035
975,55953
976,584211
977,195278
978,52061
979,37729
980,147109
981,149723
982,114576
983,2201412
984,188777
985,149719
986,207037
987,24738
988,75512
989,281122
990,33850
991,13011
992,337107
993,59892
994,80724
995,66399
996,141914
997,20831
998,174460
999,225889
1000,189983
1001,89813
1002,32532
1003,11716
1004,55963
1005,187415
1006,176949
1007,243316
1008,254384
1009,185426
1010,7812
1011,58545
1012,591037
1013,698227
1014,1779105
1015,846774
1016,243071
1017,219820
1018,171605
1019,360039
1020,37667
1021,49370
1022,197367
1023,167458
1024,429660
1025,292067
1026,136315
1027,442648
1028,512977
1029,119489
1030,110393
1031,332450
1032,629140
1033,332588
1034,51982
1035,19502
1036,301601
1037,97504
1038,124800
1039,128734
1040,254846
1041,136553
1042,144332
1043,157312
1044,61173
1045,120993
1046,490790
1047,35141
1048,169203
1049,651563
1050,65089
1051,44256
1052,117261
1053,83333
1054,78123
1055,42958
1056,88536
1057,37748
1058,130199
1059,141913
1060,137981
1061,201784
1062,218639
1063,284995
1064,27321
1065,102779
1066,109284
1067,1267350
1068,450073
1069,37837
1070,11753
1071,321099
1072,109765
1073,57508
1074,316497
1075,26160
1076,91630
1077,236928
1078,96866
1079,446367
1080,293103
1081,1178000
1082,193629
1083,175295
1084,115095
1085,1317215
1086,67924
1087,172611
1088,86269
1089,39238
1090,175207
1091,56240
1092,53617
1093,330901
1094,419857
1095,65400
1096,134726
1097,133457
1098,111226
1099,226452
1100,398950
1101,2982840
1102,644790
1103,283460
1104,392442
1105,50995
1106,147763
1107,135921
1108,57472
1109,45710
1110,50948
1111,289930
1112,83565
1113,60075
1114,53525
1115,224467
