,成交时间
628,10:01:21
629,10:01:24
630,10:01:27
631,10:01:30
632,10:01:33
633,10:01:36
634,10:01:39
635,10:01:42
636,10:01:45
637,10:01:48
638,10:01:51
639,10:01:54
640,10:01:57
641,10:02:00
642,10:02:03
643,10:02:06
644,10:02:09
645,10:02:12
646,10:02:15
647,10:02:18
648,10:02:21
649,10:02:24
650,10:02:27
651,10:02:30
652,10:02:33
653,10:02:36
654,10:02:39
655,10:02:42
656,10:02:45
657,10:02:48
658,10:02:51
659,10:02:54
660,10:02:57
661,10:03:00
662,10:03:03
663,10:03:06
664,10:03:09
665,10:03:12
666,10:03:15
667,10:03:18
668,10:03:21
669,10:03:24
670,10:03:27
671,10:03:30
672,10:03:33
673,10:03:36
674,10:03:39
675,10:03:42
676,10:03:45
677,10:03:48
678,10:03:51
679,10:03:54
680,10:03:57
681,10:04:00
682,10:04:03
683,10:04:06
684,10:04:09
685,10:04:12
686,10:04:15
687,10:04:18
688,10:04:21
689,10:04:24
690,10:04:27
691,10:04:30
692,10:04:33
693,10:04:36
694,10:04:39
695,10:04:42
696,10:04:45
697,10:04:48
698,10:04:51
699,10:04:54
700,10:04:57
701,10:05:00
702,10:05:03
703,10:05:06
704,10:05:09
705,10:05:12
706,10:05:15
707,10:05:18
708,10:05:21
709,10:05:24
710,10:05:27
711,10:05:30
712,10:05:33
713,10:05:36
714,10:05:39
715,10:05:42
716,10:05:45
717,10:05:48
718,10:05:51
719,10:05:54
720,10:05:57
721,10:06:00
722,10:06:03
723,10:06:06
724,10:06:09
725,10:06:12
726,10:06:15
727,10:06:18
728,10:06:21
729,10:06:24
730,10:06:27
731,10:06:30
732,10:06:33
733,10:06:36
734,10:06:39
735,10:06:42
736,10:06:45
737,10:06:48
738,10:06:51
739,10:06:54
740,10:06:57
741,10:07:00
742,10:07:03
743,10:07:06
744,10:07:09
745,10:07:12
746,10:07:15
747,10:07:18
748,10:07:21
749,10:07:24
750,10:07:27
751,10:07:30
752,10:07:33
753,10:07:36
754,10:07:39
755,10:07:42
756,10:07:45
757,10:07:48
758,10:07:51
759,10:07:54
760,10:07:57
761,10:08:00
762,10:08:03
763,10:08:06
764,10:08:09
765,10:08:12
766,10:08:15
767,10:08:18
768,10:08:21
769,10:08:24
770,10:08:27
771,10:08:30
772,10:08:33
773,10:08:36
774,10:08:39
775,10:08:42
776,10:08:45
777,10:08:48
778,10:08:51
779,10:08:54
780,10:08:57
781,10:09:00
782,10:09:03
783,10:09:06
784,10:09:09
785,10:09:12
786,10:09:15
787,10:09:18
788,10:09:21
789,10:09:24
790,10:09:27
791,10:09:30
792,10:09:33
793,10:09:36
794,10:09:39
795,10:09:42
796,10:09:45
797,10:09:48
798,10:09:51
799,10:09:54
800,10:09:57
801,10:10:00
802,10:10:03
803,10:10:06
804,10:10:09
805,10:10:12
806,10:10:15
807,10:10:18
808,10:10:21
809,10:10:24
810,10:10:27
811,10:10:30
812,10:10:33
813,10:10:36
814,10:10:39
815,10:10:42
816,10:10:45
817,10:10:48
818,10:10:51
819,10:10:54
820,10:10:57
821,10:11:00
822,10:11:03
823,10:11:06
824,10:11:09
825,10:11:12
826,10:11:15
827,10:11:18
828,10:11:21
829,10:11:24
830,10:11:27
831,10:11:30
832,10:11:33
833,10:11:36
834,10:11:39
835,10:11:42
836,10:11:45
837,10:11:48
838,10:11:51
839,10:11:54
840,10:11:57
841,10:12:00
842,10:12:03
843,10:12:06
844,10:12:09
845,10:12:12
846,10:12:15
847,10:12:18
848,10:12:21
