,成交量
1081,900
1082,148
1083,134
1084,88
1085,1007
1086,52
1087,132
1088,66
1089,30
1090,134
1091,43
1092,41
1093,253
1094,321
1095,50
1096,103
1097,102
1098,85
1099,173
1100,305
1101,2282
1102,493
1103,217
1104,300
1105,39
1106,113
1107,104
1108,44
1109,35
1110,39
1111,222
1112,64
1113,46
1114,41
1115,172
