序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
401,931259,转债流动性策略,203.4,-0.36,-0.74,1350628,19079459986.0,1.5,206.25,203.19,204.29,204.14,0.79,931259,转债流动性策略,中证系列指数
402,H30106,H300金融服务,1409.84,-0.36,-5.13,22303082,33591884085.9,1.71,1433.97,1409.84,1419.06,1414.97,0.94,H30106,H300金融服务,中证系列指数
403,930917,SHS高股息,5979.94,-0.37,-22.24,52898023,58565233933.4,1.49,6068.9,5979.68,6019.7,6002.18,1.19,930917,SHS高股息,中证系列指数
404,H50029,沪通信红,12657.05,-0.37,-47.35,7921668,8768129981.0,1.2,12794.45,12641.84,12718.37,12704.4,0.64,H50029,沪通信红,中证系列指数
405,H30198,油气产业,1853.16,-0.38,-6.99,26959827,22822674508.0,1.15,1872.54,1851.09,1861.54,1860.15,0.93,H30198,油气产业,中证系列指数
406,H50053,上证移动,3076.93,-0.38,-11.83,20008124,101382173488.0,2.39,3081.16,3007.27,3067.12,3088.76,0.79,H50053,上证移动,中证系列指数
407,H50023,沪工业红,9027.01,-0.39,-35.62,20372738,16119548893.0,0.75,9082.83,9014.56,9042.28,9062.63,1.85,H50023,沪工业红,中证系列指数
408,931009,建筑材料,6253.75,-0.39,-24.47,9818532,9274351591.0,1.52,6345.38,6250.07,6297.2,6278.22,0.68,931009,建筑材料,中证系列指数
409,931271,通信设备主题,2946.98,-0.4,-11.75,24348592,135405986679.0,3.3,2987.91,2890.38,2930.25,2958.73,0.94,931271,通信设备主题,中证系列指数
410,931848,800红利低波,3208.49,-0.4,-12.87,117905804,134805652390.0,1.36,3251.61,3207.94,3217.27,3221.36,1.44,931848,800红利低波,中证系列指数
411,H50021,沪能源红,4200.38,-0.41,-17.34,5048989,6012367125.0,1.71,4264.85,4192.71,4213.67,4217.72,1.17,H50021,沪能源红,中证系列指数
412,H50034,沪城基建,1272.51,-0.42,-5.38,52238647,40543567491.0,1.73,1294.63,1272.51,1287.74,1277.89,1.15,H50034,沪城基建,中证系列指数
413,931897,绿色电力,1091.03,-0.42,-4.55,35221189,25679170138.0,1.58,1106.58,1089.29,1097.04,1095.58,1.08,931897,绿色电力,中证系列指数
414,930721,CS智汽车,5776.77,-0.42,-24.08,18852021,63314424530.0,2.15,5823.27,5698.83,5798.56,5800.85,0.83,930721,CS智汽车,中证系列指数
415,H30199,电力指数,2835.52,-0.42,-12.01,44563476,29036882364.0,1.63,2878.03,2831.61,2850.87,2847.53,1.02,H30199,电力指数,中证系列指数
416,930712,CS物联网,3809.15,-0.44,-16.82,30228267,145615742284.0,2.25,3840.03,3753.97,3813.55,3825.97,0.85,930712,CS物联网,中证系列指数
417,H11042,AMAC建筑,1604.19,-0.44,-7.01,44343074,28959290321.0,1.98,1633.45,1601.58,1616.99,1611.2,1.06,H11042,AMAC建筑,中证系列指数
418,932076,全指地产,2994.29,-0.46,-13.72,32728538,28044311467.0,2.06,3055.22,2993.23,3047.63,3008.01,0.85,932076,全指地产,中证系列指数
419,H30269,红利低波,11516.87,-0.46,-53.51,63487021,60585071938.0,1.49,11688.94,11516.17,11565.07,11570.38,1.39,H30269,红利低波,中证系列指数
420,931248,油气资源,791.45,-0.47,-3.77,19384969,14230026927.0,1.17,800.04,790.72,795.27,795.22,0.87,931248,油气资源,中证系列指数
