最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
3260.76,0.37,726316439.0,1203479461752.0,3268.93,3244.91,3247.99,000017,新综指,上证系列指数
6081.61,0.36,1614301900.0,2786669327141.0,6113.45,6040.37,6058.74,000902,中证流通,上证系列指数
1473.22,0.36,66825329.0,119967612892.0,1493.9,1471.91,1472.68,000048,责任指数,上证系列指数
2955.14,0.36,84761466.0,226530507719.0,2995.86,2949.56,2951.66,000052,50基本,上证系列指数
9432.13,0.36,72891419.0,90092530277.0,9458.87,9399.77,9415.12,000142,380稳定,上证系列指数
5723.95,0.36,1586925830.0,2766916551260.0,5753.83,5684.97,5702.45,000985,中证全指,上证系列指数
1559.86,0.35,77983214.0,129717320581.0,1576.9,1559.39,1559.58,000055,上证地企,上证系列指数
8424.36,0.34,142327989.0,259495505023.0,8456.27,8370.99,8415.45,000115,380等权,上证系列指数
3583.43,0.34,634737193.0,1070159658073.0,3594.4,3567.65,3571.53,000159,沪股通,上证系列指数
1265.9,0.31,6653152.0,29738148396.0,1268.7,1241.04,1259.33,000687,科创高装,上证系列指数
1411.53,0.31,726316439.0,1203479461752.0,1415.92,1405.25,1407.14,000090,上证流通,上证系列指数
6385.03,0.3,142327989.0,259495505023.0,6404.88,6340.74,6378.89,000009,上证380,上证系列指数
12306.63,0.3,97538628.0,95184554825.0,12457.74,12290.42,12291.02,000136,180低贝,上证系列指数
7271.45,0.3,142069422.0,214742322968.0,7293.36,7224.19,7260.36,000802,500沪市,上证系列指数
8587.43,0.28,280915814.0,523041433984.9,8632.58,8542.03,8583.05,000982,500等权,上证系列指数
5570.15,0.27,177514769.0,295429651450.0,5583.42,5526.42,5560.24,000045,上证小盘,上证系列指数
3864.76,0.26,68865568.0,166540327222.0,3879.04,3821.52,3863.47,000141,380动态,上证系列指数
1393.12,0.25,8284440.0,60186639729.0,1397.69,1354.79,1378.71,000691,科创ESG,上证系列指数
1318.49,0.22,6563329.0,30718205414.0,1325.32,1297.05,1321.76,000697,科大湾区,上证系列指数
