序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
204,000927,央企100,1993.85,-0.13,-2.54,140601822,178831011652.0,1.37,2017.15,1989.8,1996.17,1996.39,1.21,000927,央企100,上证系列指数
205,000860,结构调整,1218.09,-0.13,-1.56,104011555,151601731573.0,1.31,1226.27,1210.26,1217.25,1219.65,1.13,000860,结构调整,上证系列指数
206,000825,央企红利,3433.27,-0.13,-4.32,71166302,68662840656.0,1.61,3477.65,3422.15,3447.26,3437.59,1.32,000825,央企红利,上证系列指数
207,000994,全指通信,10146.8,-0.13,-12.79,69469664,157412128786.0,2.29,10251.05,10018.35,10115.45,10159.59,0.85,000994,全指通信,上证系列指数
208,000998,中证TMT,2834.15,-0.15,-4.27,95395417,432710242824.0,2.18,2847.67,2785.8,2829.02,2838.42,0.85,000998,中证TMT,上证系列指数
209,000992,全指金融,6158.57,-0.15,-9.04,172264855,201188861217.0,1.8,6264.93,6153.95,6183.04,6167.61,1.06,000992,全指金融,上证系列指数
210,000031,180R价值,3261.04,-0.19,-6.05,190492686,284271913341.0,1.55,3310.14,3259.37,3269.98,3267.09,1.21,000031,180R价值,上证系列指数
211,000095,上证中游,3652.05,-0.19,-6.86,144155256,350755170128.0,1.49,3657.68,3603.07,3631.17,3658.91,1.05,000095,上证中游,上证系列指数
212,000129,180波动,15260.7,-0.19,-29.41,159536119,167376345603.0,1.53,15494.11,15260.7,15323.95,15290.11,1.25,000129,180波动,上证系列指数
213,000079,公用等权,2432.37,-0.2,-4.82,30451607,20749965092.0,1.61,2464.35,2425.04,2442.42,2437.19,1.16,000079,公用等权,上证系列指数
214,000038,上证金融,5931.04,-0.2,-11.85,60119500,76067186965.0,2.18,6060.47,5931.04,5954.82,5942.89,1.41,000038,上证金融,上证系列指数
215,000042,上证央企,1814.16,-0.2,-3.68,104354641,136037654118.0,1.48,1838.02,1811.1,1816.1,1817.84,1.28,000042,上证央企,上证系列指数
216,000698,科创100,1384.39,-0.21,-2.97,13283720,66787477468.0,2.32,1389.19,1356.97,1386.08,1387.36,0.92,000698,科创100,上证系列指数
217,000824,国企红利,2133.34,-0.22,-4.81,89782323,81423888234.0,1.22,2157.32,2131.24,2136.58,2138.15,1.39,000824,国企红利,上证系列指数
218,000040,上证电信,4033.78,-0.22,-8.85,18247693,31157094426.0,0.76,4045.71,4014.86,4043.99,4042.63,0.76,000040,上证电信,上证系列指数
219,000007,公用指数,4693.72,-0.22,-10.34,74317711,49351749152.6,1.36,4754.48,4690.38,4706.78,4704.06,0.97,000007,公用指数,上证系列指数
220,000043,超大盘,2565.95,-0.25,-6.46,35074547,134391966099.0,1.35,2580.59,2545.92,2547.1,2572.41,1.27,000043,超大盘,上证系列指数
221,000928,中证能源,2701.88,-0.25,-6.89,15742889,14445212629.5,1.74,2745.17,2697.91,2709.2,2708.77,1.13,000928,中证能源,上证系列指数
222,000058,全指价值,4637.61,-0.26,-12.21,183300388,176856230109.0,1.79,4720.89,4637.61,4656.96,4649.82,1.21,000058,全指价值,上证系列指数
223,000138,380低贝,7961.23,-0.26,-20.48,36282817,40149148201.0,1.13,8038.46,7948.61,8016.25,7981.71,1.02,000138,380低贝,上证系列指数
224,000018,180金融,5947.64,-0.27,-16.13,70085542,86700516047.0,2.13,6074.63,5947.64,5973.57,5963.77,1.31,000018,180金融,上证系列指数
225,000995,全指公用,2571.23,-0.27,-6.95,39690189,26191072707.0,1.52,2606.95,2567.85,2581.76,2578.18,1.12,000995,全指公用,上证系列指数
226,000139,上证转债,416.71,-0.27,-1.14,28851771,49152127424.0,1.11,421.08,416.44,418.19,417.85,1.0,000139,上证转债,上证系列指数
227,000937,800公用,2485.7,-0.27,-6.83,36790046,23710577461.0,1.61,2522.46,2482.21,2495.17,2492.53,1.18,000937,800公用,上证系列指数
228,000986,全指能源,2171.38,-0.3,-6.49,22103447,17846870238.0,1.54,2202.22,2168.59,2177.47,2177.87,0.95,000986,全指能源,上证系列指数
229,000820,煤炭指数,4008.91,-0.31,-12.57,11581807,8697428446.0,1.45,4059.44,4001.11,4017.79,4021.48,0.71,000820,煤炭指数,上证系列指数
230,000908,300能源,2158.57,-0.31,-6.71,8186987,10399134579.0,1.87,2196.85,2156.31,2166.8,2165.28,1.25,000908,300能源,上证系列指数
231,000041,上证公用,2503.93,-0.33,-8.41,30451607,20749965092.0,1.68,2542.58,2500.45,2516.29,2512.34,1.16,000041,上证公用,上证系列指数
232,000032,上证能源,1824.02,-0.33,-6.07,17017813,14491448306.0,1.75,1853.88,1821.78,1830.42,1830.09,1.02,000032,上证能源,上证系列指数
233,000153,上民红利,3105.2,-0.34,-10.54,8136274,6990529002.0,0.8,3123.74,3098.91,3117.6,3115.74,1.05,000153,上民红利,上证系列指数
234,000832,中证转债,476.11,-0.36,-1.73,52091192,87875904852.0,1.27,481.87,475.82,478.13,477.84,0.9,000832,中证转债,上证系列指数
235,000112,380电信,5891.39,-0.38,-22.67,6276835,20347994157.0,1.84,5958.51,5849.81,5941.9,5914.06,0.98,000112,380电信,上证系列指数
236,000029,180价值,4442.75,-0.4,-17.91,111658054,113922846596.0,2.06,4534.66,4442.75,4466.3,4460.66,1.35,000029,180价值,上证系列指数
237,000695,科长三角,1000.33,-0.41,-4.16,11220247,53124654935.0,2.79,1001.82,973.83,998.27,1004.49,0.97,000695,科长三角,上证系列指数
238,000104,380能源,1286.09,-0.41,-5.27,4802897,3362107168.0,1.21,1299.63,1283.96,1289.44,1291.36,0.83,000104,380能源,上证系列指数
239,000110,380金融,4435.09,-0.42,-18.69,13562431,12818105683.0,1.53,4493.18,4424.91,4466.26,4453.78,0.86,000110,380金融,上证系列指数
240,000062,上证沪企,2125.27,-0.42,-8.91,38852886,79277996050.0,1.22,2142.88,2116.89,2134.61,2134.18,1.09,000062,上证沪企,上证系列指数
241,000919,300价值,5245.75,-0.5,-26.37,168066323,184045645259.0,1.72,5336.16,5245.68,5266.6,5272.12,1.24,000919,300价值,上证系列指数
242,000152,上央红利,2865.51,-0.51,-14.71,59420268,49332629950.0,1.55,2906.13,2861.55,2874.52,2880.22,1.41,000152,上央红利,上证系列指数
243,000858,500信息,9822.66,-0.54,-53.48,41175923,169666333207.0,2.16,9904.53,9691.64,9875.69,9876.14,0.85,000858,500信息,上证系列指数
244,000851,百发100,18991.42,-0.55,-105.68,46340844,74165915728.0,1.15,19135.74,18915.98,19109.87,19097.1,1.08,000851,百发100,上证系列指数
245,000070,能源等权,2585.82,-0.57,-14.84,17017813,14491448306.0,1.57,2622.11,2581.33,2596.98,2600.66,1.02,000070,能源等权,上证系列指数
246,000865,上海国企,1501.35,-0.59,-8.96,32070774,53778187691.0,1.47,1522.03,1499.84,1516.73,1510.31,1.02,000865,上海国企,上证系列指数
247,000162,沪互联+,3778.61,-0.69,-26.27,33175105,95399219815.0,1.27,3806.59,3758.35,3802.06,3804.88,0.89,000162,沪互联+,上证系列指数
248,000015,红利指数,3060.59,-0.69,-21.22,56201636,46024590065.0,1.38,3103.24,3060.59,3076.2,3081.81,1.42,000015,红利指数,上证系列指数
249,000993,全指信息,8211.51,-0.74,-61.1,107169792,437308249448.8,2.13,8236.5,8060.04,8204.95,8272.61,0.84,000993,全指信息,上证系列指数
250,000690,科创成长,1728.08,-0.79,-13.78,6889834,85895826746.0,2.87,1733.36,1683.34,1712.81,1741.86,0.92,000690,科创成长,上证系列指数
251,000869,HK银行,3955.23,-0.8,-31.7,10006887,8489847285.2,1.88,4027.76,3952.82,3991.96,3986.93,0.99,000869,HK银行,上证系列指数
252,000935,中证信息,6199.56,-0.8,-49.79,91341031,396317944423.9,2.19,6218.85,6081.7,6188.43,6249.35,0.87,000935,中证信息,上证系列指数
253,000821,300红利,6686.18,-0.81,-54.56,87116701,102674911631.0,1.79,6806.75,6686.18,6725.42,6740.74,1.5,000821,300红利,上证系列指数
254,000020,中型综指,1669.42,-0.86,-14.52,113433214,317149434602.0,1.64,1678.41,1650.73,1671.23,1683.94,0.89,000020,中型综指,上证系列指数
255,000134,上证银行,1059.36,-0.89,-9.47,53004106,43503489175.0,2.24,1083.25,1059.36,1067.91,1068.83,1.39,000134,上证银行,上证系列指数
256,000680,科创综指,1603.09,-0.89,-14.37,62032377,303558670461.0,2.11,1610.38,1576.19,1603.05,1617.46,0.94,000680,科创综指,上证系列指数
257,000681,科创价格,1548.5,-0.89,-13.9,62032377,303558670461.0,2.11,1555.55,1522.52,1548.47,1562.4,0.94,000681,科创价格,上证系列指数
258,000149,180红利,4028.2,-0.9,-36.65,69126339,65180966438.0,2.15,4115.68,4028.2,4060.76,4064.85,1.6,000149,180红利,上证系列指数
259,000915,300信息,3195.46,-0.93,-30.1,50165107,226651611185.0,2.57,3207.14,3124.22,3177.4,3225.56,0.88,000915,300信息,上证系列指数
260,000151,上国红利,1534.79,-0.93,-14.47,42926686,35487966224.0,1.56,1558.91,1534.79,1544.64,1549.26,1.42,000151,上国红利,上证系列指数
261,000111,380信息,9983.79,-1.22,-123.21,12973858,53789130803.0,2.49,10087.53,9836.14,10087.53,10107.0,0.85,000111,380信息,上证系列指数
262,000027,180运输,754.47,-1.33,-10.14,13009728,11346947576.0,1.62,766.85,754.47,761.88,764.61,1.52,000027,180运输,上证系列指数
263,000039,上证信息,5325.21,-1.41,-76.32,25268929,171336366901.0,2.57,5338.03,5199.28,5297.64,5401.53,0.81,000039,上证信息,上证系列指数
264,000688,科创50,1341.31,-1.71,-23.29,15616830,111147793261.0,2.35,1346.76,1314.74,1335.65,1364.6,0.96,000688,科创50,上证系列指数
265,000077,信息等权,5759.37,-1.73,-101.6,25268929,171336366901.0,2.34,5799.26,5661.9,5799.26,5860.97,0.81,000077,信息等权,上证系列指数
266,000945,内地运输,1471.64,-2.19,-32.93,25594242,25428979152.0,2.03,1500.19,1469.61,1499.8,1504.57,1.41,000945,内地运输,上证系列指数
267,000682,科创信息,1911.73,-2.38,-46.6,13991065,118633053687.0,2.77,1923.77,1869.56,1914.74,1958.33,0.92,000682,科创信息,上证系列指数
268,000685,科创芯片,2428.43,-3.09,-77.43,9078018,106534081827.0,2.88,2445.64,2373.45,2444.54,2505.86,0.79,000685,科创芯片,上证系列指数
