序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
76,470007,创业板R(美元)(CNH),3063.85,2.38,71.25,54470682.0,41878734599.55,4.51,3113.26,2978.37,2998.86,2992.6,0.96,470007,创业板R(美元)(CNH),深证系列指数
77,483070,深港通工业品R（港币）,6262.47,2.33,142.75,110942637.0,272418484888.83,3.76,6348.69,6118.33,6143.84,6119.72,0.95,483070,深港通工业品R（港币）,深证系列指数
78,983161,低碳科技(港币),2801.04,2.33,63.7,39126585.0,161226006075.34,4.22,2842.67,2727.24,2735.28,2737.34,1.27,983161,低碳科技(港币),深证系列指数
79,983070,深港通工业品（港币）,5448.8,2.33,124.2,110942637.0,272418484888.83,3.76,5523.82,5323.39,5345.59,5324.6,0.95,983070,深港通工业品（港币）,深证系列指数
80,399993,CSWD生科,3070.63,2.32,69.48,12430373.0,47373638098.39,3.4,3092.62,2990.45,2997.19,3001.15,0.81,399993,CSWD生科,深证系列指数
81,470006,创业板R(港币)(CNH),3065.86,2.32,69.55,54470682.0,326294068894.6,4.49,3114.76,2980.11,3001.35,2996.31,0.96,470006,创业板R(港币)(CNH),深证系列指数
82,970006,创业板指(港币)(CNH),2769.78,2.32,62.82,54470682.0,326294068894.6,4.49,2813.95,2692.3,2711.49,2706.96,0.96,970006,创业板指(港币)(CNH),深证系列指数
83,399346,深证成长,3840.16,2.32,86.94,55702155.0,256675572116.98,4.22,3889.15,3730.67,3748.77,3753.22,1.08,399346,深证成长,深证系列指数
84,980043,工业金属,2232.97,2.31,50.51,44698369.0,50786200318.38,2.29,2238.48,2188.52,2193.27,2182.46,1.14,980043,工业金属,深证系列指数
85,399337,深证民营,6006.64,2.31,135.43,82258126.0,368996283049.28,3.95,6073.89,5842.27,5874.19,5871.21,1.03,399337,深证民营,深证系列指数
86,399293,创业大盘,5829.96,2.31,131.57,34119767.0,233958035658.44,4.65,5918.96,5653.73,5695.7,5698.39,1.11,399293,创业大盘,深证系列指数
87,480043,工业金属R,2580.3,2.31,58.37,44698369.0,50786200318.38,2.29,2586.67,2528.94,2534.42,2521.93,1.14,480043,工业金属R,深证系列指数
88,399643,创业新兴,3548.43,2.25,78.04,60575047.0,300227703492.37,4.6,3605.51,3445.78,3470.79,3470.39,0.98,399643,创业新兴,深证系列指数
89,483069,深港通工业品R,6442.21,2.24,140.85,110942637.0,249218735572.44,3.71,6532.4,6298.88,6321.97,6301.36,0.95,483069,深港通工业品R,深证系列指数
90,983069,深港通工业品,5603.73,2.24,122.52,110942637.0,249218735572.44,3.71,5682.18,5479.05,5499.14,5481.21,0.95,983069,深港通工业品,深证系列指数
91,470028,创指ESGR,3324.37,2.24,72.77,48160078.0,242850693696.55,4.03,3365.92,3234.77,3257.12,3251.6,0.99,470028,创指ESGR,深证系列指数
92,970028,创指ESG,3003.67,2.24,65.72,48160078.0,242850693696.55,4.03,3041.22,2922.71,2942.91,2937.95,0.99,970028,创指ESG,深证系列指数
93,983160,低碳科技,3280.41,2.23,71.55,39126585.0,147495670715.33,4.12,3329.1,3196.77,3204.31,3208.86,1.27,983160,低碳科技,深证系列指数
94,399606,创业板R,3199.09,2.23,69.71,54470682.0,298558028085.46,4.41,3247.64,3109.64,3130.33,3129.38,0.96,399606,创业板R,深证系列指数
95,399006,创业板指,2890.13,2.23,62.96,293731747.0,771067872982.93,4.41,2933.99,2809.32,2828.01,2827.17,0.86,399006,创业板指,深证系列指数
96,399296,创成长,5744.04,2.19,123.13,37045745.0,200020296094.49,3.72,5796.08,5586.79,5636.26,5620.91,1.03,399296,创成长,深证系列指数
97,399060,碳科技60,2995.04,2.17,63.66,45184306.0,170726796398.87,4.27,3040.49,2915.33,2923.18,2931.38,1.18,399060,碳科技60,深证系列指数
98,399385,1000消费,10333.53,2.14,216.16,19036963.0,56284051907.15,2.04,10379.75,10172.9,10172.9,10117.37,0.99,399385,1000消费,深证系列指数
99,399684,深成消费,2047.23,2.13,42.77,8518821.0,23811611469.82,2.3,2054.08,2007.97,2007.97,2004.46,0.9,399684,深成消费,深证系列指数
100,399402,周期100,3520.84,2.1,72.27,144329412.0,302121790634.64,2.51,3547.22,3460.79,3463.37,3448.57,1.06,399402,周期100,深证系列指数
101,399259,创业低碳,4095.21,2.08,83.47,25174233.0,84936758944.67,4.92,4188.5,3990.99,4025.64,4011.74,1.18,399259,创业低碳,深证系列指数
102,399326,成长40,5509.73,2.07,111.59,17830571.0,101843270486.32,4.31,5578.84,5346.02,5390.92,5398.14,1.06,399326,成长40,深证系列指数
103,399394,国证医药,9615.58,2.07,194.65,19154878.0,69217351207.75,2.77,9670.56,9409.55,9410.32,9420.93,0.97,399394,国证医药,深证系列指数
104,399933,中证医药,9167.42,2.07,186.34,19958022.0,69773254534.7,2.71,9213.86,8970.44,8970.45,8981.08,0.97,399933,中证医药,深证系列指数
105,399386,1000医药,6464.9,2.06,130.77,21151039.0,73943950205.55,2.77,6502.34,6326.81,6327.29,6334.13,0.95,399386,1000医药,深证系列指数
106,399932,中证消费,16991.46,2.06,342.91,11134980.0,45164255252.3,2.0,17069.09,16736.91,16736.91,16648.55,1.02,399932,中证消费,深证系列指数
107,399372,大盘成长,4808.56,2.06,97.01,63023932.0,290835840493.72,3.08,4835.86,4690.95,4698.89,4711.55,1.23,399372,大盘成长,深证系列指数
108,470034,创指ESG增强R,2749.65,2.05,55.18,27970904.0,192968938667.98,4.7,2796.72,2669.95,2690.02,2694.47,1.16,470034,创指ESG增强R,深证系列指数
109,970034,创指ESG增强,2586.96,2.05,51.92,27970904.0,192968938667.98,4.7,2631.24,2511.98,2530.85,2535.04,1.16,970034,创指ESG增强,深证系列指数
110,399615,深证工业,3624.98,2.04,72.42,71216675.0,198918774535.81,3.77,3678.99,3544.98,3562.82,3552.56,1.03,399615,深证工业,深证系列指数
111,399669,深证农业,8789.41,2.04,175.96,16999844.0,37419280390.51,2.34,8819.34,8618.02,8618.02,8613.45,0.97,399669,深证农业,深证系列指数
112,970037,深证高装,2846.13,2.03,56.53,23006696.0,72472962260.41,2.38,2865.69,2799.41,2816.86,2789.6,1.07,970037,深证高装,深证系列指数
113,470037,深证高装R,3207.01,2.03,63.71,23006696.0,72472962260.41,2.38,3229.05,3154.36,3174.03,3143.3,1.07,470037,深证高装R,深证系列指数
114,399339,深证科技,8571.51,2.0,167.83,88617725.0,335536022713.16,3.79,8648.0,8329.91,8398.15,8403.68,0.95,399339,深证科技,深证系列指数
115,983062,深港通基材（港币）,5904.22,1.99,114.93,73356208.0,107172196078.14,2.04,5944.65,5826.57,5826.88,5789.29,1.04,983062,深港通基材（港币）,深证系列指数
116,483062,深港通基材R（港币）,7113.82,1.99,138.47,73356208.0,107172196078.14,2.04,7162.54,7020.26,7020.63,6975.35,1.04,483062,深港通基材R（港币）,深证系列指数
117,399617,深证消费,10484.81,1.95,200.28,7385589.0,19475548716.17,2.27,10529.42,10295.49,10295.49,10284.53,0.9,399617,深证消费,深证系列指数
118,980150,单项冠军,7734.74,1.95,148.18,42917174.0,153191794477.28,3.23,7778.15,7532.93,7585.06,7586.56,1.08,980150,单项冠军,深证系列指数
119,480150,单项冠军R,9836.61,1.95,188.45,42917174.0,153191794477.28,3.23,9891.82,9579.96,9646.25,9648.16,1.08,480150,单项冠军R,深证系列指数
120,399322,国证治理,9642.05,1.94,183.16,53245668.0,186698759242.17,2.4,9685.98,9458.88,9460.16,9458.89,1.24,399322,国证治理,深证系列指数
121,489004,新华优选价值50R,2557.96,1.93,48.44,50261529.0,327454338769.2,2.54,2565.32,2501.52,2504.85,2509.52,1.34,489004,新华优选价值50R,深证系列指数
122,470030,100ESG领先R,8413.12,1.93,159.63,58806191.0,197456481462.98,3.73,8518.64,8210.95,8241.61,8253.49,0.98,470030,100ESG领先R,深证系列指数
123,970030,100ESG领先,6014.94,1.93,114.12,58806191.0,197456481462.98,3.73,6090.38,5870.4,5892.32,5900.82,0.98,970030,100ESG领先,深证系列指数
124,483024,深港通医药卫生R（港币）,6017.08,1.9,111.99,48506080.0,98478232674.26,2.98,6075.11,5898.94,5916.55,5905.09,0.83,483024,深港通医药卫生R（港币）,深证系列指数
125,399611,中创100R,2983.26,1.89,55.46,82278038.0,360738409970.47,3.52,3011.89,2908.86,2928.18,2927.8,1.09,399611,中创100R,深证系列指数
126,983061,深港通基材,6070.22,1.89,112.49,73356208.0,98045197269.21,2.03,6113.21,5992.4,5992.4,5957.73,1.04,983061,深港通基材,深证系列指数
127,399612,中创100,2532.64,1.89,47.09,82278038.0,360738409970.47,3.52,2556.94,2469.47,2485.87,2485.55,1.09,399612,中创100,深证系列指数
128,483061,深港通基材R,7317.04,1.89,135.59,73356208.0,98045197269.21,2.03,7368.87,7223.25,7223.25,7181.45,1.04,483061,深港通基材R,深证系列指数
129,983024,深港通医药卫生（港币）,5451.91,1.87,99.96,48506080.0,98478232674.26,2.98,5504.49,5344.86,5360.83,5351.95,0.83,983024,深港通医药卫生（港币）,深证系列指数
130,399088,深创100,4537.94,1.85,82.4,60467409.0,272376469384.83,3.84,4593.91,4422.95,4450.8,4455.54,1.0,399088,深创100,深证系列指数
131,989004,新华优选价值50,2074.21,1.83,37.36,50261529.0,327454338769.2,2.54,2080.17,2028.44,2031.14,2036.85,1.34,989004,新华优选价值50,深证系列指数
132,399705,深证中游,3768.23,1.83,67.65,110361478.0,388320055551.34,3.8,3811.67,3671.1,3702.73,3700.58,0.98,399705,深证中游,深证系列指数
133,399441,生物医药,2457.26,1.82,43.84,7317067.0,29052807037.72,2.93,2475.7,2404.87,2407.94,2413.42,0.92,399441,生物医药,深证系列指数
134,399278,长江100,1997.2,1.8,35.4,75080322.0,239372441109.05,2.24,2005.48,1961.49,1968.86,1961.8,1.09,399278,长江100,深证系列指数
135,399382,1000材料,3113.42,1.8,55.19,113994903.0,173445092434.38,1.74,3130.17,3076.88,3077.28,3058.23,1.0,399382,1000材料,深证系列指数
136,483023,深港通医药卫生R,6188.82,1.8,109.4,48506080.0,90091680182.45,2.96,6249.97,6070.27,6087.16,6079.42,0.83,483023,深港通医药卫生R,深证系列指数
137,399630,1000成长,1606.65,1.79,28.22,139123330.0,488502227436.73,3.3,1624.03,1571.92,1579.36,1578.43,0.95,399630,1000成长,深证系列指数
138,399814,大农业,1163.83,1.78,20.33,15887121.0,32063145500.22,1.86,1167.99,1146.74,1146.74,1143.5,0.99,399814,大农业,深证系列指数
139,399249,综企指数,2513.8,1.78,44.01,713118.0,954419410.18,3.47,2539.63,2453.86,2460.04,2469.79,1.48,399249,综企指数,深证系列指数
140,983023,深港通医药卫生,5605.35,1.77,97.53,48506080.0,90091680182.45,2.96,5660.74,5497.98,5513.27,5507.82,0.83,983023,深港通医药卫生,深证系列指数
